40.0,23.0,19.0,12.0,9.0,4.0,2.0,2.0,2.0,1.0
52.0,22.0,19.0,14.0,8.0,6.0,4.0,3.0,2.0,2.0
62.0,15.0,10.0,9.0,5.0,4.0,2.0,2.0,2.0,1.0
65.0,12.0,10.0,8.0,5.0,5.0,4.0,4.0,3.0,2.0
67.0,18.0,17.0,13.0,6.0,4.0,3.0,3.0,3.0,3.0
52.0,24.0,23.0,13.0,5.0,5.0,5.0,3.0,3.0,2.0
43.0,43.0,16.0,12.0,6.0,5.0,3.0,2.0,2.0,2.0
72.0,32.0,9.0,8.0,4.0,4.0,4.0,3.0,3.0,3.0
70.0,38.0,13.0,12.0,6.0,6.0,4.0,4.0,3.0,3.0
54.0,24.0,16.0,13.0,7.0,2.0,2.0,2.0,2.0,1.0
68.0,17.0,8.0,8.0,5.0,3.0,3.0,3.0,2.0,2.0
45.0,17.0,13.0,9.0,7.0,3.0,2.0,2.0,1.0,1.0
281.0,46.0,20.0,9.0,6.0,5.0,5.0,4.0,2.0,1.0
233.0,51.0,17.0,15.0,4.0,2.0,2.0,2.0,2.0,2.0
177.0,55.0,25.0,24.0,10.0,9.0,5.0,5.0,5.0,4.0
103.0,53.0,16.0,9.0,3.0,2.0,2.0,2.0,2.0,2.0
69.0,46.0,13.0,12.0,4.0,4.0,3.0,3.0,3.0,3.0
64.0,63.0,12.0,12.0,4.0,3.0,2.0,2.0,2.0,2.0
49.0,42.0,17.0,7.0,7.0,5.0,4.0,3.0,3.0,2.0
57.0,34.0,18.0,7.0,6.0,5.0,3.0,3.0,3.0,2.0
49.0,32.0,16.0,10.0,4.0,2.0,2.0,2.0,2.0,2.0
54.0,25.0,9.0,6.0,4.0,4.0,4.0,2.0,2.0,2.0
58.0,28.0,24.0,12.0,5.0,4.0,3.0,3.0,3.0,2.0
48.0,26.0,16.0,6.0,4.0,2.0,2.0,2.0,1.0,1.0
520.0,42.0,13.0,9.0,7.0,5.0,4.0,3.0,3.0,3.0
476.0,56.0,15.0,13.0,5.0,4.0,3.0,3.0,2.0,2.0
86.0,42.0,14.0,8.0,4.0,4.0,4.0,4.0,3.0,3.0
59.0,37.0,9.0,8.0,7.0,5.0,3.0,3.0,2.0,2.0
52.0,39.0,15.0,9.0,6.0,3.0,3.0,3.0,3.0,2.0
48.0,22.0,9.0,9.0,7.0,4.0,3.0,2.0,2.0,2.0
81.0,54.0,11.0,11.0,6.0,5.0,2.0,2.0,2.0,2.0
98.0,87.0,27.0,14.0,13.0,6.0,5.0,3.0,3.0,3.0
58.0,54.0,22.0,16.0,10.0,7.0,7.0,4.0,3.0,3.0
69.0,41.0,27.0,20.0,18.0,7.0,6.0,3.0,3.0,2.0
80.0,26.0,10.0,8.0,7.0,4.0,3.0,2.0,2.0,2.0
49.0,24.0,18.0,9.0,6.0,2.0,2.0,2.0,2.0,2.0
